data,acquired_by_app_immuni,acquired_by_app_immuni_total,acquired_by_web_ts,acquired_by_web_ts_total,acquired_by_web_id,acquired_by_web_id_total,acquired_by_web_spid,acquired_by_web_spid_total,acquired_by_operator_ts,acquired_by_operator_ts_total,acquired_by_operator_id,acquired_by_operator_id_total,acquired_by_app_io,acquired_by_app_io_total,acquired_all,acquired_all_total
2021-10-04,45282,8065913,169690,35125720,4496,246082,209559,18754809,39521,7836222,14709,683149,609596,78676661,1092853,149388556
2021-10-03,51808,8020631,147429,34956030,1915,241586,41584,18545250,26529,7796701,4883,668440,550579,78067065,824727,148295703
2021-10-02,60366,7968823,195535,34808601,3970,239671,211284,18503666,32647,7770172,16929,663557,682926,77516486,1203657,147470976
2021-10-01,54088,7908457,197974,34613066,5325,235701,228867,18292382,37896,7737525,17285,646628,676236,76833560,1217671,146267319
2021-09-30,46505,7854369,166683,34415092,4965,230376,179917,18063515,35857,7699629,13561,629343,627955,76157324,1075443,145049648
2021-09-29,49818,7807864,185981,34248409,4861,225411,192997,17883598,40730,7663772,12920,615782,634870,75529369,1122177,143974205
2021-09-28,50509,7758046,185380,34062428,4774,220550,180052,17690601,40518,7623042,11427,602862,639878,74894499,1112538,142852028
2021-09-27,54092,7707537,209730,33877048,5279,215776,232413,17510549,45525,7582524,15874,591435,649533,74254621,1212446,141739490
2021-09-26,58793,7653445,167186,33667318,2283,210497,43347,17278136,30519,7536999,5326,575561,588928,73605088,896382,140527044
2021-09-25,67855,7594652,214438,33500132,4392,208214,216154,17234789,35268,7506480,17316,570235,733852,73016160,1289275,139630662
2021-09-24,58800,7526797,212579,33285694,5959,203822,243706,17018635,41089,7471212,17905,552919,714840,72282308,1294878,138341387
2021-09-23,59122,7467997,211561,33073115,5410,197863,203989,16774929,43604,7430123,13385,535014,713737,71567468,1250808,137046509
2021-09-22,60576,7408875,217175,32861554,3268,192453,214598,16570940,46783,7386519,13114,521629,725008,70853731,1280522,135795701
2021-09-21,55585,7348299,194822,32644379,4395,189185,197874,16356342,42041,7339736,11200,508515,689257,70128723,1195174,134515179
2021-09-20,56425,7292714,216285,32449557,5032,184790,255324,16158468,42644,7297695,15469,497315,691804,69439466,1282983,133320005
2021-09-19,67545,7236289,197607,32233272,2295,179758,47098,15903144,30050,7255051,4826,481846,621980,68747662,971401,132037022
2021-09-18,76160,7168744,243962,32035665,4246,177463,221938,15856046,36559,7225001,16306,477020,782557,68125682,1381728,131065621
2021-09-17,72572,7092584,257106,31791703,5573,173217,246418,15634108,42343,7188442,15911,460714,793865,67343125,1433788,129683893
2021-09-16,65304,7020012,226480,31534597,4817,167644,197332,15387690,40470,7146099,12288,444803,728749,66549260,1275440,128250105
2021-09-15,63620,6954708,219107,31308117,4397,162827,204075,15190358,38905,7105629,11495,432515,686323,65820511,1227922,126974665
2021-09-14,65348,6891088,223904,31089010,4324,158430,202753,14986283,38228,7066724,10619,421020,668938,65134188,1214114,125746743
2021-09-13,68114,6825740,243091,30865106,4583,154106,254275,14783530,43762,7028496,14068,410401,694078,64465250,1321971,124532629
2021-09-12,75132,6757626,220369,30622015,2241,149523,43710,14529255,32867,6984734,5016,396333,617101,63771172,996436,123210658
2021-09-11,79134,6682494,250148,30401646,4508,147282,199819,14485545,37714,6951867,16305,391317,749055,63154071,1336683,122214222
2021-09-10,73741,6603360,249902,30151498,5847,142774,225031,14285726,41860,6914153,17433,375012,720547,62405016,1334361,120877539
2021-09-09,64497,6529619,219809,29901596,4417,136927,189163,14060695,39513,6872293,14356,357579,692284,61684469,1224039,119543178
2021-09-08,62863,6465122,218516,29681787,3357,132510,191400,13871532,39362,6832780,11979,343223,688827,60992185,1216304,118319139
2021-09-07,64919,6402259,227309,29463271,4236,129153,190486,13680132,40453,6793418,10312,331244,707968,60303358,1245683,117102835
2021-09-06,64901,6337340,240920,29235962,4879,124917,240781,13489646,42973,6752965,13394,320932,701571,59595390,1309419,115857152
2021-09-05,69103,6272439,205510,28995042,1998,120038,38827,13248865,32302,6709992,4414,307538,634145,58893819,986299,114547733
2021-09-04,81493,6203336,262757,28789532,4294,118040,195061,13210038,40653,6677690,14338,303124,807372,58259674,1405968,113561434
2021-09-03,75461,6121843,268243,28526775,5651,113746,237553,13014977,46657,6637037,15318,288786,799007,57452302,1447890,112155466
2021-09-02,71786,6046382,256484,28258532,4793,108095,221810,12777424,51173,6590380,11362,273468,784300,56653295,1401708,110707576
2021-09-01,79179,5974596,283728,28002048,4317,103302,228686,12555614,54686,6539207,10940,262106,847766,55868995,1509302,109305868
2021-08-31,74760,5895417,267085,27718320,3962,98985,203766,12326928,52105,6484521,8356,251166,720316,55021229,1330350,107796566
2021-08-30,64462,5820657,237632,27451235,3705,95023,204475,12123162,43705,6432416,10029,242810,627577,54300913,1191585,106466216
2021-08-29,65434,5756195,195558,27213603,1434,91318,28286,11918687,31342,6388711,2723,232781,599165,53673336,923942,105274631
2021-08-28,73962,5690761,234417,27018045,3124,89884,151040,11890401,38600,6357369,11099,230058,756769,53074171,1269011,104350689
2021-08-27,70296,5616799,242837,26783628,4005,86760,188236,11739361,41716,6318769,12833,218959,696886,52317402,1256809,103081678
2021-08-26,67125,5546503,222793,26540791,3519,82755,160766,11551125,42316,6277053,9386,206126,665768,51620516,1171673,101824869
2021-08-25,53599,5479378,191808,26317998,3316,79236,162618,11390359,35542,6234737,7732,196740,618695,50954748,1073310,100653196
2021-08-24,65264,5425779,224570,26126190,3521,75920,167793,11227741,39410,6199195,7801,189008,654069,50336053,1162428,99579886
2021-08-23,64082,5360515,232883,25901620,3703,72399,192962,11059948,39501,6159785,9215,181207,647733,49681984,1190079,98417458
2021-08-22,59216,5296433,181517,25668737,1565,68696,26789,10866986,28551,6120284,2741,171992,554985,49034251,855364,97227379
2021-08-21,67936,5237217,217767,25487220,3220,67131,136979,10840197,33692,6091733,10325,169251,666750,48479266,1136669,96372015
2021-08-20,68568,5169281,235267,25269453,4624,63911,186662,10703218,39521,6058041,12215,158926,691903,47812516,1238760,95235346
2021-08-19,66407,5100713,228735,25034186,3911,59287,189812,10516556,39024,6018520,10427,146711,689320,47120613,1227636,93996586
2021-08-18,71581,5034306,246512,24805451,3531,55376,184708,10326744,42276,5979496,7821,136284,727247,46431293,1283676,92768950
2021-08-17,72551,4962725,253499,24558939,3765,51845,196635,10142036,43967,5937220,7441,128463,709138,45704046,1286996,91485274
2021-08-16,68961,4890174,246774,24305440,3409,48080,184043,9945401,42811,5893253,8235,121022,671855,44994908,1226088,90198278
2021-08-15,61415,4821213,193298,24058666,810,44671,20578,9761358,31664,5850442,1774,112787,569057,44323053,878596,88972190
2021-08-14,80309,4759798,262374,23865368,2587,43861,173023,9740780,43877,5818778,9501,111013,736936,43753996,1308607,88093594
2021-08-13,86099,4679489,307271,23602994,3751,41274,265932,9567757,55450,5774901,11045,101512,818015,43017060,1547563,86784987
2021-08-12,89316,4593390,324904,23295723,3273,37523,273591,9301825,59968,5719451,8229,90467,821926,42199045,1581207,85237424
2021-08-11,100604,4504074,377148,22970819,2710,34250,307858,9028234,67754,5659483,6655,82238,877276,41377119,1740005,83656217
2021-08-10,112538,4403470,422718,22593671,2456,31540,360321,8720376,77624,5591729,6031,75583,940982,40499843,1922670,81916212
2021-08-09,123431,4290932,498768,22170953,2294,29084,476879,8360055,89962,5514105,6438,69552,976094,39558861,2173866,79993542
2021-08-08,141925,4167501,494430,21672185,1220,26790,61785,7883176,82727,5424143,2341,63114,1002643,38582767,1787071,77819676
2021-08-07,197536,4025576,712360,21177755,2700,25570,438154,7821391,124948,5341416,6601,60773,1426105,37580124,2908404,76032605
2021-08-06,250648,3828040,1025102,20465395,2497,22870,695941,7383237,199358,5216468,6685,54172,1815153,36154019,3995384,73124201
